    n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  487,      6439,        1378,       2544,     7207,       3952,      4152
  488,      6557,        1368,       2598,     7231,       3962,      4085
  489,      6258,        1369,       2572,     7242,       3971,      4134
  490,      6100,        1386,       2454,     7245,       3960,      4127
  491,      6575,        1400,       2597,     7275,       3981,      4212
  492,      6092,        1402,       2432,     7294,       3985,      4138
  493,      6166,        1386,       2547,     7292,       3996,      4573
  494,      6105,        1395,       2683,     7324,       4005,      4288
  495,      6209,        1408,       2727,     7338,       4003,      4180
  496,      6495,        1413,       2549,     7354,       4016,      4546
  497,      6372,        1393,       2746,     7370,       4028,      4299
  498,      5957,        1410,       2455,     7370,       4032,      4307
  499,      6237,        1427,       2672,     7413,       4050,      4362
  500,      6332,        1433,       2579,     7419,       4054,      4227
  501,      6149,        1446,       2543,     7448,       4077,      4333
  502,      6507,        1442,       2657,     7467,       4085,      4255
  503,      6350,        1445,       2567,     7485,       4085,      4309
  504,      6474,        1424,       2526,     7498,       4113,      4336
  505,      6399,        1415,       2641,     7519,       4112,      4226
  506,      6400,        1448,       2633,     7521,       4110,      4251
  507,      6466,        1437,       2650,     7574,       4145,      4312
  508,      6562,        1448,       2806,     7575,       4146,      4402
  509,      6326,        1443,       2534,     7576,       4141,      4300
  510,      6794,        1471,       2716,     7602,       4158,      4246
  511,      6959,        1454,       2776,     7613,       4157,      4267
  512,      6649,        1461,       2845,     7625,       4165,      4327
  513,      7141,        1444,       2792,     7652,       4184,      4634
  514,      7161,        1445,       2844,     7642,       4175,      4642
  515,      6882,        1473,       3058,     7684,       4207,      5011
  516,      6602,        1473,       2663,     7705,       4206,      4311
  517,      6871,        1465,       2751,     7730,       4221,      4621
  518,      6750,        1469,       2730,     7733,       4239,      4323
  519,      6711,        1478,       2781,     7760,       4249,      4379
  520,      6536,        1504,       2807,     7767,       4244,      4367
  521,      6564,        1505,       2627,     7808,       4270,      4415
  522,      7358,        1477,       2842,     7815,       4257,      4363
  523,      6802,        1480,       2748,     7827,       4275,      4369
  524,      6877,        1489,       2779,     7840,       4279,      4373
  525,      6715,        1503,       2787,     7874,       4297,      4399
  526,      6967,        1517,       2785,     7875,       4304,      4395
  527,      6830,        1536,       2766,     7909,       4313,      4479
  528,      7024,        1511,       2940,     7929,       4340,      4474
  529,      6763,        1524,       2845,     7940,       4336,      4445
  530,      6795,        1529,       2795,     7959,       4349,      4624
  531,      7365,        1526,       2912,     7973,       4364,      4552
  532,      7438,        1502,       2871,     7993,       4364,      4587
  533,      7461,        1502,       2893,     8035,       4384,      4485
  534,      7286,        1494,       2833,     8040,       4383,      4477
  535,      6660,        1527,       2712,     8077,       4412,      4515
  536,      6852,        1556,       2788,     8081,       4393,      4617
  537,      7252,        1527,       2842,     8108,       4434,      4567
  538,      7218,        1518,       3006,     8122,       4413,      4518
  539,      7492,        1545,       2940,     8137,       4443,      4534
  540,      6968,        1538,       2913,     8137,       4447,      4590
  541,      7895,        1516,       3106,     8169,       4447,      4622
  542,      7061,        1558,       2901,     8191,       4476,      4585
  543,      7273,        1529,       2920,     8203,       4482,      4723
  544,      7423,        1539,       3043,     8234,       4488,      4641
  545,      7335,        1575,       2974,     8239,       4494,      4609
  546,      8022,        1542,       3586,     8282,       4530,      5295
  547,      7808,        1548,       3330,     8277,       4516,      4702
  548,      7530,        1546,       3313,     8283,       4527,      4958
